SCHOOLNAME	Region	SaleDate	MealType	TotalMealCount
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-19	CACFP Supper	100
IDEA Ambrose and Freda Robinson Academy	WSAR	2024-04-19	Lunch	378
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-15	Breakfast	73
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-15	CACFP Supper	14
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-15	Lunch	95
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-16	Breakfast	69
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-16	CACFP Supper	20
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-16	Lunch	65
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-17	Breakfast	70
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-17	CACFP Supper	16
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-17	Lunch	94
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-18	Breakfast	64
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-18	CACFP Supper	23
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-18	Lunch	102
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-19	Breakfast	66
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-19	CACFP Supper	15
IDEA Ambrose and Freda Robinson College Preparatory	WSAR	2024-04-19	Lunch	97
IDEA Bassett Academy	JACK	2024-04-15	Breakfast	368
IDEA Bassett Academy	JACK	2024-04-15	CACFP Supper	119
IDEA Bassett Academy	JACK	2024-04-15	Lunch	337
IDEA Bassett Academy	JACK	2024-04-16	Breakfast	336
IDEA Bassett Academy	JACK	2024-04-16	CACFP Supper	146
IDEA Bassett Academy	JACK	2024-04-16	Lunch	345
IDEA Bassett Academy	JACK	2024-04-17	Breakfast	342
IDEA Bassett Academy	JACK	2024-04-17	CACFP Supper	139
IDEA Bassett Academy	JACK	2024-04-17	Lunch	356
IDEA Bassett Academy	JACK	2024-04-18	Breakfast	314
IDEA Bassett Academy	JACK	2024-04-18	CACFP Supper	154
IDEA Bassett Academy	JACK	2024-04-18	Lunch	363
IDEA Bassett Academy	JACK	2024-04-19	Breakfast	343
IDEA Bassett Academy	JACK	2024-04-19	CACFP Supper	89
IDEA Bassett Academy	JACK	2024-04-19	Lunch	347
IDEA Bassett College Preparatory	JACK	2024-04-15	Breakfast	137
IDEA Bassett College Preparatory	JACK	2024-04-15	Lunch	196
IDEA Bassett College Preparatory	JACK	2024-04-16	Breakfast	122
IDEA Bassett College Preparatory	JACK	2024-04-16	Lunch	185
IDEA Bassett College Preparatory	JACK	2024-04-17	Breakfast	130
IDEA Bassett College Preparatory	JACK	2024-04-17	Lunch	195
IDEA Bassett College Preparatory	JACK	2024-04-18	Breakfast	115
IDEA Bassett College Preparatory	JACK	2024-04-18	Lunch	183
IDEA Bassett College Preparatory	JACK	2024-04-19	Breakfast	106
IDEA Bassett College Preparatory	JACK	2024-04-19	Lunch	178
IDEA Bluff Springs Academy	AUR	2024-04-15	Breakfast	318
IDEA Bluff Springs Academy	AUR	2024-04-15	CACFP Supper	22
IDEA Bluff Springs Academy	AUR	2024-04-15	CACFP Supper	214
IDEA Bluff Springs Academy	AUR	2024-04-15	Lunch	455
IDEA Bluff Springs Academy	AUR	2024-04-16	Breakfast	343
IDEA Bluff Springs Academy	AUR	2024-04-16	CACFP Supper	18
IDEA Bluff Springs Academy	AUR	2024-04-16	CACFP Supper	220
IDEA Bluff Springs Academy	AUR	2024-04-16	Lunch	423
IDEA Bluff Springs Academy	AUR	2024-04-17	Breakfast	371
IDEA Bluff Springs Academy	AUR	2024-04-17	CACFP Supper	21
IDEA Bluff Springs Academy	AUR	2024-04-17	CACFP Supper	219
IDEA Bluff Springs Academy	AUR	2024-04-17	Lunch	459
IDEA Bluff Springs Academy	AUR	2024-04-18	Breakfast	356
IDEA Bluff Springs Academy	AUR	2024-04-18	CACFP Supper	20
IDEA Bluff Springs Academy	AUR	2024-04-18	CACFP Supper	222
IDEA Bluff Springs Academy	AUR	2024-04-18	Lunch	474
IDEA Bluff Springs Academy	AUR	2024-04-19	Breakfast	361
IDEA Bluff Springs Academy	AUR	2024-04-19	CACFP Supper	17
IDEA Bluff Springs Academy	AUR	2024-04-19	CACFP Supper	209
IDEA Bluff Springs Academy	AUR	2024-04-19	Lunch	472
IDEA Bluff Springs College Preparatory	AUR	2024-04-15	Breakfast	130
IDEA Bluff Springs College Preparatory	AUR	2024-04-15	CACFP Supper	10
IDEA Bluff Springs College Preparatory	AUR	2024-04-15	CACFP Supper	2
IDEA Bluff Springs College Preparatory	AUR	2024-04-15	Lunch	495
IDEA Bluff Springs College Preparatory	AUR	2024-04-16	Breakfast	133
IDEA Bluff Springs College Preparatory	AUR	2024-04-16	CACFP Supper	7
IDEA Bluff Springs College Preparatory	AUR	2024-04-16	CACFP Supper	3
IDEA Bluff Springs College Preparatory	AUR	2024-04-16	Lunch	447
IDEA Bluff Springs College Preparatory	AUR	2024-04-17	Breakfast	161
IDEA Bluff Springs College Preparatory	AUR	2024-04-17	CACFP Supper	8
IDEA Bluff Springs College Preparatory	AUR	2024-04-17	Lunch	597
IDEA Bluff Springs College Preparatory	AUR	2024-04-18	Breakfast	140
IDEA Bluff Springs College Preparatory	AUR	2024-04-18	CACFP Supper	4
IDEA Bluff Springs College Preparatory	AUR	2024-04-18	CACFP Supper	3
IDEA Bluff Springs College Preparatory	AUR	2024-04-18	Lunch	592
IDEA Bluff Springs College Preparatory	AUR	2024-04-19	Breakfast	142
IDEA Bluff Springs College Preparatory	AUR	2024-04-19	CACFP Supper	10
IDEA Bluff Springs College Preparatory	AUR	2024-04-19	CACFP Supper	3
IDEA Bluff Springs College Preparatory	AUR	2024-04-19	Lunch	520
IDEA Brackenridge Academy	WSAR	2024-04-15	Breakfast	399
IDEA Brackenridge Academy	WSAR	2024-04-15	CACFP Supper	220
IDEA Brackenridge Academy	WSAR	2024-04-15	Lunch	533
IDEA Brackenridge Academy	WSAR	2024-04-16	Breakfast	431
IDEA Brackenridge Academy	WSAR	2024-04-16	CACFP Supper	252
IDEA Brackenridge Academy	WSAR	2024-04-16	Lunch	574
IDEA Brackenridge Academy	WSAR	2024-04-17	Breakfast	424
IDEA Brackenridge Academy	WSAR	2024-04-17	CACFP Supper	248
IDEA Brackenridge Academy	WSAR	2024-04-17	Lunch	544
IDEA Brackenridge Academy	WSAR	2024-04-18	Breakfast	405
IDEA Brackenridge Academy	WSAR	2024-04-18	CACFP Supper	243
IDEA Brackenridge Academy	WSAR	2024-04-18	Lunch	552
IDEA Brackenridge Academy	WSAR	2024-04-19	Breakfast	396
IDEA Brackenridge Academy	WSAR	2024-04-19	CACFP Supper	224
IDEA Brackenridge Academy	WSAR	2024-04-19	Lunch	507
IDEA Brackenridge College Preparatory	WSAR	2024-04-15	Breakfast	367
IDEA Brackenridge College Preparatory	WSAR	2024-04-15	Lunch	514
IDEA Brackenridge College Preparatory	WSAR	2024-04-16	Breakfast	385
IDEA Brackenridge College Preparatory	WSAR	2024-04-16	Lunch	527
IDEA Brackenridge College Preparatory	WSAR	2024-04-17	Breakfast	416
IDEA Brackenridge College Preparatory	WSAR	2024-04-17	Lunch	540
IDEA Brackenridge College Preparatory	WSAR	2024-04-18	Breakfast	377
IDEA Brackenridge College Preparatory	WSAR	2024-04-18	Lunch	529
IDEA Brackenridge College Preparatory	WSAR	2024-04-19	Breakfast	356
IDEA Brackenridge College Preparatory	WSAR	2024-04-19	Lunch	509
IDEA Bridge Academy	SOLA	2024-04-15	Breakfast	467
IDEA Bridge Academy	SOLA	2024-04-15	CACFP Supper	194
IDEA Bridge Academy	SOLA	2024-04-15	Lunch	430
IDEA Bridge Academy	SOLA	2024-04-16	Breakfast	480
IDEA Bridge Academy	SOLA	2024-04-16	CACFP Supper	212
IDEA Bridge Academy	SOLA	2024-04-16	Lunch	473
IDEA Bridge Academy	SOLA	2024-04-17	Breakfast	477
IDEA Bridge Academy	SOLA	2024-04-17	CACFP Supper	192
IDEA Bridge Academy	SOLA	2024-04-17	Lunch	479
IDEA Bridge Academy	SOLA	2024-04-18	Breakfast	462
IDEA Bridge Academy	SOLA	2024-04-18	CACFP Supper	220
IDEA Bridge Academy	SOLA	2024-04-18	Lunch	489
IDEA Bridge Academy	SOLA	2024-04-19	Breakfast	452
IDEA Bridge Academy	SOLA	2024-04-19	Lunch	481
IDEA Bridge College Preparatory	SOLA	2024-04-15	Breakfast	264
IDEA Bridge College Preparatory	SOLA	2024-04-15	CACFP Supper	18
IDEA Bridge College Preparatory	SOLA	2024-04-15	Lunch	352
IDEA Bridge College Preparatory	SOLA	2024-04-16	Breakfast	309
IDEA Bridge College Preparatory	SOLA	2024-04-16	CACFP Supper	20
IDEA Bridge College Preparatory	SOLA	2024-04-16	Lunch	360
IDEA Bridge College Preparatory	SOLA	2024-04-17	Breakfast	363
IDEA Bridge College Preparatory	SOLA	2024-04-17	CACFP Supper	17
IDEA Bridge College Preparatory	SOLA	2024-04-17	Lunch	401
IDEA Bridge College Preparatory	SOLA	2024-04-18	Breakfast	396
IDEA Bridge College Preparatory	SOLA	2024-04-18	CACFP Supper	21
IDEA Bridge College Preparatory	SOLA	2024-04-18	Lunch	366
IDEA Bridge College Preparatory	SOLA	2024-04-19	Breakfast	378
IDEA Bridge College Preparatory	SOLA	2024-04-19	Lunch	362
IDEA Brownsville Academy	LRGV	2024-04-15	Breakfast	462
IDEA Brownsville Academy	LRGV	2024-04-15	CACFP Supper	243
IDEA Brownsville Academy	LRGV	2024-04-15	CACFP Supper	35
IDEA Brownsville Academy	LRGV	2024-04-15	Lunch	630
IDEA Brownsville Academy	LRGV	2024-04-16	Breakfast	481
IDEA Brownsville Academy	LRGV	2024-04-16	CACFP Supper	267
IDEA Brownsville Academy	LRGV	2024-04-16	CACFP Supper	51
IDEA Brownsville Academy	LRGV	2024-04-16	Lunch	657
IDEA Brownsville Academy	LRGV	2024-04-17	Breakfast	498
IDEA Brownsville Academy	LRGV	2024-04-17	CACFP Supper	248
IDEA Brownsville Academy	LRGV	2024-04-17	CACFP Supper	28
IDEA Brownsville Academy	LRGV	2024-04-17	Lunch	619
IDEA Brownsville Academy	LRGV	2024-04-18	Breakfast	470
IDEA Brownsville Academy	LRGV	2024-04-18	CACFP Supper	185
IDEA Brownsville Academy	LRGV	2024-04-18	CACFP Supper	54
IDEA Brownsville Academy	LRGV	2024-04-18	Lunch	603
IDEA Brownsville Academy	LRGV	2024-04-19	Breakfast	506
IDEA Brownsville Academy	LRGV	2024-04-19	CACFP Supper	31
IDEA Brownsville Academy	LRGV	2024-04-19	CACFP Supper	249
IDEA Brownsville Academy	LRGV	2024-04-19	Lunch	623
IDEA Brownsville College Preparatory	LRGV	2024-04-15	Breakfast	493
IDEA Brownsville College Preparatory	LRGV	2024-04-15	CACFP Supper	50
IDEA Brownsville College Preparatory	LRGV	2024-04-15	Lunch	532
IDEA Brownsville College Preparatory	LRGV	2024-04-16	Breakfast	428
IDEA Brownsville College Preparatory	LRGV	2024-04-16	CACFP Supper	67
IDEA Brownsville College Preparatory	LRGV	2024-04-16	Lunch	542
IDEA Brownsville College Preparatory	LRGV	2024-04-17	Breakfast	593
IDEA Brownsville College Preparatory	LRGV	2024-04-17	CACFP Supper	100
IDEA Brownsville College Preparatory	LRGV	2024-04-17	Lunch	528
IDEA Brownsville College Preparatory	LRGV	2024-04-18	Breakfast	463
IDEA Brownsville College Preparatory	LRGV	2024-04-18	CACFP Supper	88
IDEA Brownsville College Preparatory	LRGV	2024-04-18	Lunch	548
IDEA Brownsville College Preparatory	LRGV	2024-04-19	Breakfast	434
IDEA Brownsville College Preparatory	LRGV	2024-04-19	CACFP Supper	26
IDEA Brownsville College Preparatory	LRGV	2024-04-19	Lunch	568
IDEA Burke Academy	WSAR	2024-04-15	Breakfast	567
IDEA Burke Academy	WSAR	2024-04-15	CACFP Supper	116
IDEA Burke Academy	WSAR	2024-04-15	Lunch	593
IDEA Burke Academy	WSAR	2024-04-16	Breakfast	539
IDEA Burke Academy	WSAR	2024-04-16	Lunch	565
IDEA Burke Academy	WSAR	2024-04-17	Breakfast	542
IDEA Burke Academy	WSAR	2024-04-17	CACFP Supper	132
IDEA Burke Academy	WSAR	2024-04-17	Lunch	549
IDEA Burke Academy	WSAR	2024-04-18	Breakfast	510
IDEA Burke Academy	WSAR	2024-04-18	CACFP Supper	142
IDEA Burke Academy	WSAR	2024-04-18	Lunch	602
IDEA Burke Academy	WSAR	2024-04-19	Breakfast	523
IDEA Burke Academy	WSAR	2024-04-19	CACFP Supper	126
IDEA Burke Academy	WSAR	2024-04-19	Lunch	589
IDEA Burke College Preparatory	WSAR	2024-04-15	Breakfast	336
IDEA Burke College Preparatory	WSAR	2024-04-15	CACFP Supper	36
IDEA Burke College Preparatory	WSAR	2024-04-15	Lunch	379
IDEA Burke College Preparatory	WSAR	2024-04-16	Breakfast	333
IDEA Burke College Preparatory	WSAR	2024-04-16	CACFP Supper	32
IDEA Burke College Preparatory	WSAR	2024-04-16	Lunch	355
IDEA Burke College Preparatory	WSAR	2024-04-17	Breakfast	328
IDEA Burke College Preparatory	WSAR	2024-04-17	CACFP Supper	32
IDEA Burke College Preparatory	WSAR	2024-04-17	Lunch	324
IDEA Burke College Preparatory	WSAR	2024-04-18	Breakfast	312
IDEA Burke College Preparatory	WSAR	2024-04-18	CACFP Supper	25
IDEA Burke College Preparatory	WSAR	2024-04-18	Lunch	386
IDEA Burke College Preparatory	WSAR	2024-04-19	Breakfast	349
IDEA Burke College Preparatory	WSAR	2024-04-19	CACFP Supper	27
IDEA Burke College Preparatory	WSAR	2024-04-19	Lunch	345
IDEA Carver Academy	ESAR	2024-04-15	Breakfast	406
IDEA Carver Academy	ESAR	2024-04-15	CACFP Supper	162
IDEA Carver Academy	ESAR	2024-04-15	Lunch	432
IDEA Carver Academy	ESAR	2024-04-16	Breakfast	403
IDEA Carver Academy	ESAR	2024-04-16	CACFP Supper	165
IDEA Carver Academy	ESAR	2024-04-16	Lunch	439
IDEA Carver Academy	ESAR	2024-04-17	Breakfast	407
IDEA Carver Academy	ESAR	2024-04-17	CACFP Supper	165
IDEA Carver Academy	ESAR	2024-04-17	Lunch	390
IDEA Carver Academy	ESAR	2024-04-18	Breakfast	405
IDEA Carver Academy	ESAR	2024-04-18	CACFP Supper	165
IDEA Carver Academy	ESAR	2024-04-18	Lunch	442
IDEA Carver Academy	ESAR	2024-04-19	Breakfast	395
IDEA Carver Academy	ESAR	2024-04-19	CACFP Supper	153
IDEA Carver Academy	ESAR	2024-04-19	Lunch	414
IDEA Carver College Preparatory	ESAR	2024-04-15	Breakfast	395
IDEA Carver College Preparatory	ESAR	2024-04-15	Lunch	467
IDEA Carver College Preparatory	ESAR	2024-04-16	Breakfast	406
IDEA Carver College Preparatory	ESAR	2024-04-16	Lunch	474
IDEA Carver College Preparatory	ESAR	2024-04-17	Breakfast	401
IDEA Carver College Preparatory	ESAR	2024-04-17	Lunch	455
IDEA Carver College Preparatory	ESAR	2024-04-18	Breakfast	408
IDEA Carver College Preparatory	ESAR	2024-04-18	Lunch	493
IDEA Carver College Preparatory	ESAR	2024-04-19	Breakfast	401
IDEA Carver College Preparatory	ESAR	2024-04-19	Lunch	467
IDEA Converse Academy	ESAR	2024-04-15	Breakfast	405
IDEA Converse Academy	ESAR	2024-04-15	CACFP Supper	200
IDEA Converse Academy	ESAR	2024-04-15	Lunch	471
IDEA Converse Academy	ESAR	2024-04-16	Breakfast	377
IDEA Converse Academy	ESAR	2024-04-16	CACFP Supper	197
IDEA Converse Academy	ESAR	2024-04-16	Lunch	434
IDEA Converse Academy	ESAR	2024-04-17	Breakfast	413
IDEA Converse Academy	ESAR	2024-04-17	CACFP Supper	199
IDEA Converse Academy	ESAR	2024-04-17	Lunch	444
IDEA Converse Academy	ESAR	2024-04-18	Breakfast	404
IDEA Converse Academy	ESAR	2024-04-18	CACFP Supper	199
IDEA Converse Academy	ESAR	2024-04-18	Lunch	483
IDEA Converse Academy	ESAR	2024-04-19	Breakfast	390
IDEA Converse Academy	ESAR	2024-04-19	CACFP Supper	188
IDEA Converse Academy	ESAR	2024-04-19	Lunch	471
IDEA Converse College Preparatory	ESAR	2024-04-15	Breakfast	185
IDEA Converse College Preparatory	ESAR	2024-04-15	Lunch	297
IDEA Converse College Preparatory	ESAR	2024-04-16	Breakfast	163
IDEA Converse College Preparatory	ESAR	2024-04-16	CACFP Supper	1
IDEA Converse College Preparatory	ESAR	2024-04-16	Lunch	309
IDEA Converse College Preparatory	ESAR	2024-04-17	Breakfast	181
IDEA Converse College Preparatory	ESAR	2024-04-17	Lunch	256
IDEA Converse College Preparatory	ESAR	2024-04-18	Breakfast	198
IDEA Converse College Preparatory	ESAR	2024-04-18	CACFP Supper	1
IDEA Converse College Preparatory	ESAR	2024-04-18	Lunch	288
IDEA Converse College Preparatory	ESAR	2024-04-19	Breakfast	187
IDEA Converse College Preparatory	ESAR	2024-04-19	CACFP Supper	1
IDEA Converse College Preparatory	ESAR	2024-04-19	Lunch	268
IDEA Donna Academy	MRGV	2024-04-15	Breakfast	531
IDEA Donna Academy	MRGV	2024-04-15	CACFP Supper	18
IDEA Donna Academy	MRGV	2024-04-15	CACFP Supper	22
IDEA Donna Academy	MRGV	2024-04-15	Lunch	655
IDEA Donna Academy	MRGV	2024-04-16	Breakfast	592
IDEA Donna Academy	MRGV	2024-04-16	CACFP Supper	12
IDEA Donna Academy	MRGV	2024-04-16	CACFP Supper	38
IDEA Donna Academy	MRGV	2024-04-16	Lunch	712
IDEA Donna Academy	MRGV	2024-04-17	Breakfast	575
IDEA Donna Academy	MRGV	2024-04-17	CACFP Supper	19
IDEA Donna Academy	MRGV	2024-04-17	CACFP Supper	27
IDEA Donna Academy	MRGV	2024-04-17	Lunch	663
IDEA Donna Academy	MRGV	2024-04-18	Breakfast	562
IDEA Donna Academy	MRGV	2024-04-18	CACFP Supper	19
IDEA Donna Academy	MRGV	2024-04-18	CACFP Supper	34
IDEA Donna Academy	MRGV	2024-04-18	Lunch	678
IDEA Donna Academy	MRGV	2024-04-19	Breakfast	568
IDEA Donna Academy	MRGV	2024-04-19	CACFP Supper	19
IDEA Donna Academy	MRGV	2024-04-19	CACFP Supper	21
IDEA Donna Academy	MRGV	2024-04-19	Lunch	662
IDEA Donna College Preparatory	MRGV	2024-04-15	Breakfast	518
IDEA Donna College Preparatory	MRGV	2024-04-15	CACFP Supper	12
IDEA Donna College Preparatory	MRGV	2024-04-15	CACFP Supper	140
IDEA Donna College Preparatory	MRGV	2024-04-15	Lunch	587
IDEA Donna College Preparatory	MRGV	2024-04-16	Breakfast	530
IDEA Donna College Preparatory	MRGV	2024-04-16	CACFP Supper	11
IDEA Donna College Preparatory	MRGV	2024-04-16	CACFP Supper	20
IDEA Donna College Preparatory	MRGV	2024-04-16	Lunch	669
IDEA Donna College Preparatory	MRGV	2024-04-17	Breakfast	543
IDEA Donna College Preparatory	MRGV	2024-04-17	CACFP Supper	11
IDEA Donna College Preparatory	MRGV	2024-04-17	CACFP Supper	105
IDEA Donna College Preparatory	MRGV	2024-04-17	Lunch	609
IDEA Donna College Preparatory	MRGV	2024-04-18	Breakfast	557
IDEA Donna College Preparatory	MRGV	2024-04-18	CACFP Supper	12
IDEA Donna College Preparatory	MRGV	2024-04-18	CACFP Supper	125
IDEA Donna College Preparatory	MRGV	2024-04-18	Lunch	619
IDEA Donna College Preparatory	MRGV	2024-04-19	Breakfast	556
IDEA Donna College Preparatory	MRGV	2024-04-19	CACFP Supper	10
IDEA Donna College Preparatory	MRGV	2024-04-19	CACFP Supper	126
IDEA Donna College Preparatory	MRGV	2024-04-19	Lunch	643
IDEA Eastside Academy	ESAR	2024-04-15	Breakfast	323
IDEA Eastside Academy	ESAR	2024-04-15	CACFP Supper	57
IDEA Eastside Academy	ESAR	2024-04-15	Lunch	359
IDEA Eastside Academy	ESAR	2024-04-16	Breakfast	332
IDEA Eastside Academy	ESAR	2024-04-16	CACFP Supper	60
IDEA Eastside Academy	ESAR	2024-04-16	Lunch	362
IDEA Eastside Academy	ESAR	2024-04-17	Breakfast	339
IDEA Eastside Academy	ESAR	2024-04-17	CACFP Supper	56
IDEA Eastside Academy	ESAR	2024-04-17	Lunch	343
IDEA Eastside Academy	ESAR	2024-04-18	Breakfast	330
IDEA Eastside Academy	ESAR	2024-04-18	CACFP Supper	63
IDEA Eastside Academy	ESAR	2024-04-18	Lunch	362
IDEA Eastside Academy	ESAR	2024-04-19	Breakfast	293
IDEA Eastside Academy	ESAR	2024-04-19	CACFP Supper	57
IDEA Eastside Academy	ESAR	2024-04-19	Lunch	330
IDEA Eastside College Preparatory	ESAR	2024-04-15	Breakfast	335
IDEA Eastside College Preparatory	ESAR	2024-04-15	Lunch	348
IDEA Eastside College Preparatory	ESAR	2024-04-16	Breakfast	305
IDEA Eastside College Preparatory	ESAR	2024-04-16	Lunch	326
IDEA Eastside College Preparatory	ESAR	2024-04-17	Breakfast	312
IDEA Eastside College Preparatory	ESAR	2024-04-17	Lunch	393
IDEA Eastside College Preparatory	ESAR	2024-04-18	Breakfast	330
IDEA Eastside College Preparatory	ESAR	2024-04-18	Lunch	388
IDEA Eastside College Preparatory	ESAR	2024-04-19	Breakfast	279
IDEA Eastside College Preparatory	ESAR	2024-04-19	Lunch	330
IDEA Edgecliff Academy	TRCR	2024-04-15	Breakfast	422
IDEA Edgecliff Academy	TRCR	2024-04-15	CACFP Supper	252
IDEA Edgecliff Academy	TRCR	2024-04-15	Lunch	498
IDEA Edgecliff Academy	TRCR	2024-04-16	Breakfast	398
IDEA Edgecliff Academy	TRCR	2024-04-16	Lunch	519
IDEA Edgecliff Academy	TRCR	2024-04-17	Breakfast	364
IDEA Edgecliff Academy	TRCR	2024-04-17	CACFP Supper	272
IDEA Edgecliff Academy	TRCR	2024-04-17	Lunch	504
IDEA Edgecliff Academy	TRCR	2024-04-18	Breakfast	420
IDEA Edgecliff Academy	TRCR	2024-04-18	CACFP Supper	234
IDEA Edgecliff Academy	TRCR	2024-04-18	Lunch	534
IDEA Edgecliff Academy	TRCR	2024-04-19	Breakfast	437
IDEA Edgecliff Academy	TRCR	2024-04-19	CACFP Supper	229
IDEA Edgecliff Academy	TRCR	2024-04-19	Lunch	569
IDEA Edgecliff College Preparatory	TRCR	2024-04-15	Breakfast	256
IDEA Edgecliff College Preparatory	TRCR	2024-04-15	CACFP Supper	12
IDEA Edgecliff College Preparatory	TRCR	2024-04-15	Lunch	395
IDEA Edgecliff College Preparatory	TRCR	2024-04-16	Breakfast	306
IDEA Edgecliff College Preparatory	TRCR	2024-04-16	CACFP Supper	17
