Campus,Site,Region,State,SaleDate,MealType,MenuItem,FreeCount,ReducedCount,PaidCount,TotalMealCount,EntryMethod
IDEA Alamo,College Preparatory,MRGV,TX,4/16/24,Breakfast,CP Breakfast,574,0,0,574,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/16/24,Lunch,CP Lunch,657,0,0,657,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/17/24,Breakfast,CP Breakfast,485,0,0,485,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/17/24,CACFP Supper,Supper,20,0,2,22,Individual
IDEA Alamo,College Preparatory,MRGV,TX,4/17/24,Lunch,CP Lunch,531,0,0,531,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/18/24,Breakfast,CP Breakfast,513,0,0,513,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/18/24,CACFP Supper,Supper,15,0,1,16,Individual
IDEA Alamo,College Preparatory,MRGV,TX,4/18/24,Lunch,CP Lunch,680,0,0,680,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/19/24,Breakfast,CP Breakfast,537,0,0,537,Bulk
IDEA Alamo,College Preparatory,MRGV,TX,4/19/24,CACFP Supper,Supper,5,0,0,5,Individual
IDEA Alamo,College Preparatory,MRGV,TX,4/19/24,Lunch,CP Lunch,636,0,0,636,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/15/24,Breakfast,AC Breakfast,273,0,0,273,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/15/24,CACFP Supper,Supper,50,1,50,101,Individual
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/15/24,Lunch,AC Lunch,323,0,0,323,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/16/24,Breakfast,AC Breakfast,263,0,0,263,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/16/24,CACFP Supper,Supper,52,1,49,102,Individual
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/16/24,Lunch,AC Lunch,364,0,0,364,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/17/24,Breakfast,AC Breakfast,288,0,0,288,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/17/24,CACFP Supper,Supper,48,1,54,103,Individual
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/17/24,Lunch,AC Lunch,313,0,0,313,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/18/24,Breakfast,AC Breakfast,277,0,0,277,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/18/24,CACFP Supper,Supper,57,2,54,113,Individual
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/18/24,Lunch,AC Lunch,338,0,0,338,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/19/24,Breakfast,AC Breakfast,274,0,0,274,Bulk
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/19/24,CACFP Supper,Supper,50,2,48,100,Individual
IDEA Ambrose and Freda Robinson,Academy,WSAR,TX,4/19/24,Lunch,AC Lunch,378,0,0,378,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/15/24,Breakfast,CP Breakfast,73,0,0,73,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/15/24,CACFP Supper,Supper,5,0,9,14,Individual
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/15/24,Lunch,CP Lunch,95,0,0,95,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/16/24,Breakfast,CP Breakfast,69,0,0,69,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/16/24,CACFP Supper,Supper,9,0,11,20,Individual
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/16/24,Lunch,CP Lunch,65,0,0,65,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/17/24,Breakfast,CP Breakfast,70,0,0,70,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/17/24,CACFP Supper,Supper,8,0,8,16,Individual
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/17/24,Lunch,CP Lunch,94,0,0,94,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/18/24,Breakfast,CP Breakfast,64,0,0,64,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/18/24,CACFP Supper,Supper,10,0,13,23,Individual
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/18/24,Lunch,CP Lunch,102,0,0,102,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/19/24,Breakfast,CP Breakfast,66,0,0,66,Bulk
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/19/24,CACFP Supper,Supper,8,0,7,15,Individual
IDEA Ambrose and Freda Robinson,College Preparatory,WSAR,TX,4/19/24,Lunch,CP Lunch,97,0,0,97,Bulk
IDEA Bassett,Academy,JACK,FL,4/15/24,Breakfast,AC Breakfast,368,0,0,368,Bulk
IDEA Bassett,Academy,JACK,FL,4/15/24,CACFP Supper,Supper,119,0,0,119,Bulk
IDEA Bassett,Academy,JACK,FL,4/15/24,Lunch,AC Lunch,337,0,0,337,Bulk
IDEA Bassett,Academy,JACK,FL,4/16/24,Breakfast,AC Breakfast,336,0,0,336,Bulk
IDEA Bassett,Academy,JACK,FL,4/16/24,CACFP Supper,Supper,146,0,0,146,Bulk
IDEA Bassett,Academy,JACK,FL,4/16/24,Lunch,AC Lunch,345,0,0,345,Bulk
IDEA Bassett,Academy,JACK,FL,4/17/24,Breakfast,AC Breakfast,342,0,0,342,Bulk
IDEA Bassett,Academy,JACK,FL,4/17/24,CACFP Supper,Supper,139,0,0,139,Bulk
IDEA Bassett,Academy,JACK,FL,4/17/24,Lunch,AC Lunch,356,0,0,356,Bulk
IDEA Bassett,Academy,JACK,FL,4/18/24,Breakfast,AC Breakfast,314,0,0,314,Bulk
IDEA Bassett,Academy,JACK,FL,4/18/24,CACFP Supper,Supper,154,0,0,154,Bulk
IDEA Bassett,Academy,JACK,FL,4/18/24,Lunch,AC Lunch,363,0,0,363,Bulk
IDEA Bassett,Academy,JACK,FL,4/19/24,Breakfast,AC Breakfast,343,0,0,343,Bulk
IDEA Bassett,Academy,JACK,FL,4/19/24,CACFP Supper,Supper,89,0,0,89,Bulk
IDEA Bassett,Academy,JACK,FL,4/19/24,Lunch,AC Lunch,347,0,0,347,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/15/24,Breakfast,CP Breakfast,137,0,0,137,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/15/24,Lunch,CP Lunch,196,0,0,196,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/16/24,Breakfast,CP Breakfast,122,0,0,122,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/16/24,Lunch,CP Lunch,185,0,0,185,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/17/24,Breakfast,CP Breakfast,130,0,0,130,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/17/24,Lunch,CP Lunch,195,0,0,195,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/18/24,Breakfast,CP Breakfast,115,0,0,115,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/18/24,Lunch,CP Lunch,183,0,0,183,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/19/24,Breakfast,CP Breakfast,106,0,0,106,Bulk
IDEA Bassett,College Preparatory,JACK,FL,4/19/24,Lunch,CP Lunch,178,0,0,178,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/15/24,Breakfast,AC Breakfast,318,0,0,318,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/15/24,CACFP Supper,AC Supper,22,0,0,22,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/15/24,CACFP Supper,Supper,124,6,84,214,Individual
IDEA Bluff Springs,Academy,AUR,TX,4/15/24,Lunch,AC Lunch,455,0,0,455,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/16/24,Breakfast,AC Breakfast,343,0,0,343,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/16/24,CACFP Supper,AC Supper,18,0,0,18,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/16/24,CACFP Supper,Supper,129,7,84,220,Individual
IDEA Bluff Springs,Academy,AUR,TX,4/16/24,Lunch,AC Lunch,423,0,0,423,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/17/24,Breakfast,AC Breakfast,371,0,0,371,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/17/24,CACFP Supper,AC Supper,21,0,0,21,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/17/24,CACFP Supper,Supper,122,8,89,219,Individual
IDEA Bluff Springs,Academy,AUR,TX,4/17/24,Lunch,AC Lunch,459,0,0,459,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/18/24,Breakfast,AC Breakfast,356,0,0,356,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/18/24,CACFP Supper,AC Supper,20,0,0,20,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/18/24,CACFP Supper,Supper,129,8,85,222,Individual
IDEA Bluff Springs,Academy,AUR,TX,4/18/24,Lunch,AC Lunch,474,0,0,474,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/19/24,Breakfast,AC Breakfast,361,0,0,361,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/19/24,CACFP Supper,AC Supper,17,0,0,17,Bulk
IDEA Bluff Springs,Academy,AUR,TX,4/19/24,CACFP Supper,Supper,122,6,81,209,Individual
IDEA Bluff Springs,Academy,AUR,TX,4/19/24,Lunch,AC Lunch,472,0,0,472,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/15/24,Breakfast,CP Breakfast,130,0,0,130,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/15/24,CACFP Supper,CP Supper,10,0,0,10,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/15/24,CACFP Supper,Supper,0,0,2,2,Individual
IDEA Bluff Springs,College Preparatory,AUR,TX,4/15/24,Lunch,CP Lunch,495,0,0,495,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/16/24,Breakfast,CP Breakfast,133,0,0,133,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/16/24,CACFP Supper,CP Supper,7,0,0,7,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/16/24,CACFP Supper,Supper,0,0,3,3,Individual
IDEA Bluff Springs,College Preparatory,AUR,TX,4/16/24,Lunch,CP Lunch,447,0,0,447,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/17/24,Breakfast,CP Breakfast,161,0,0,161,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/17/24,CACFP Supper,CP Supper,8,0,0,8,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/17/24,Lunch,CP Lunch,597,0,0,597,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/18/24,Breakfast,CP Breakfast,140,0,0,140,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/18/24,CACFP Supper,CP Supper,4,0,0,4,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/18/24,CACFP Supper,Supper,0,0,3,3,Individual
IDEA Bluff Springs,College Preparatory,AUR,TX,4/18/24,Lunch,CP Lunch,592,0,0,592,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/19/24,Breakfast,CP Breakfast,142,0,0,142,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/19/24,CACFP Supper,CP Supper,10,0,0,10,Bulk
IDEA Bluff Springs,College Preparatory,AUR,TX,4/19/24,CACFP Supper,Supper,0,0,3,3,Individual
IDEA Bluff Springs,College Preparatory,AUR,TX,4/19/24,Lunch,CP Lunch,520,0,0,520,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/15/24,Breakfast,AC Breakfast,399,0,0,399,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/15/24,CACFP Supper,Supper,155,7,58,220,Individual
IDEA Brackenridge,Academy,WSAR,TX,4/15/24,Lunch,AC Lunch,533,0,0,533,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/16/24,Breakfast,AC Breakfast,431,0,0,431,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/16/24,CACFP Supper,Supper,173,8,71,252,Individual
IDEA Brackenridge,Academy,WSAR,TX,4/16/24,Lunch,AC Lunch,574,0,0,574,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/17/24,Breakfast,AC Breakfast,424,0,0,424,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/17/24,CACFP Supper,Supper,165,9,74,248,Individual
IDEA Brackenridge,Academy,WSAR,TX,4/17/24,Lunch,AC Lunch,544,0,0,544,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/18/24,Breakfast,AC Breakfast,405,0,0,405,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/18/24,CACFP Supper,Supper,168,8,67,243,Individual
IDEA Brackenridge,Academy,WSAR,TX,4/18/24,Lunch,AC Lunch,552,0,0,552,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/19/24,Breakfast,AC Breakfast,396,0,0,396,Bulk
IDEA Brackenridge,Academy,WSAR,TX,4/19/24,CACFP Supper,Supper,150,8,66,224,Individual
IDEA Brackenridge,Academy,WSAR,TX,4/19/24,Lunch,AC Lunch,507,0,0,507,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/15/24,Breakfast,CP Breakfast,367,0,0,367,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/15/24,Lunch,CP Lunch,514,0,0,514,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/16/24,Breakfast,CP Breakfast,385,0,0,385,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/16/24,Lunch,CP Lunch,527,0,0,527,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/17/24,Breakfast,CP Breakfast,416,0,0,416,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/17/24,Lunch,CP Lunch,540,0,0,540,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/18/24,Breakfast,CP Breakfast,377,0,0,377,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/18/24,Lunch,CP Lunch,529,0,0,529,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/19/24,Breakfast,CP Breakfast,356,0,0,356,Bulk
IDEA Brackenridge,College Preparatory,WSAR,TX,4/19/24,Lunch,CP Lunch,509,0,0,509,Bulk
IDEA Bridge,Academy,SOLA,LA,4/15/24,Breakfast,AC Breakfast,467,0,0,467,Bulk
IDEA Bridge,Academy,SOLA,LA,4/15/24,CACFP Supper,Supper,141,10,43,194,Individual
IDEA Bridge,Academy,SOLA,LA,4/15/24,Lunch,AC Lunch,430,0,0,430,Bulk
IDEA Bridge,Academy,SOLA,LA,4/16/24,Breakfast,AC Breakfast,480,0,0,480,Bulk
IDEA Bridge,Academy,SOLA,LA,4/16/24,CACFP Supper,Supper,160,14,38,212,Individual
IDEA Bridge,Academy,SOLA,LA,4/16/24,Lunch,AC Lunch,473,0,0,473,Bulk
IDEA Bridge,Academy,SOLA,LA,4/17/24,Breakfast,AC Breakfast,477,0,0,477,Bulk
IDEA Bridge,Academy,SOLA,LA,4/17/24,CACFP Supper,Supper,141,11,40,192,Individual
IDEA Bridge,Academy,SOLA,LA,4/17/24,Lunch,AC Lunch,479,0,0,479,Bulk
IDEA Bridge,Academy,SOLA,LA,4/18/24,Breakfast,AC Breakfast,462,0,0,462,Bulk
IDEA Bridge,Academy,SOLA,LA,4/18/24,CACFP Supper,Supper,169,14,37,220,Individual
IDEA Bridge,Academy,SOLA,LA,4/18/24,Lunch,AC Lunch,489,0,0,489,Bulk
IDEA Bridge,Academy,SOLA,LA,4/19/24,Breakfast,AC Breakfast,452,0,0,452,Bulk
IDEA Bridge,Academy,SOLA,LA,4/19/24,Lunch,AC Lunch,481,0,0,481,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/15/24,Breakfast,CP Breakfast,264,0,0,264,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/15/24,CACFP Supper,Supper,11,1,6,18,Individual
IDEA Bridge,College Preparatory,SOLA,LA,4/15/24,Lunch,CP Lunch,352,0,0,352,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/16/24,Breakfast,CP Breakfast,309,0,0,309,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/16/24,CACFP Supper,Supper,13,1,6,20,Individual
IDEA Bridge,College Preparatory,SOLA,LA,4/16/24,Lunch,CP Lunch,360,0,0,360,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/17/24,Breakfast,CP Breakfast,363,0,0,363,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/17/24,CACFP Supper,Supper,11,1,5,17,Individual
IDEA Bridge,College Preparatory,SOLA,LA,4/17/24,Lunch,CP Lunch,401,0,0,401,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/18/24,Breakfast,CP Breakfast,396,0,0,396,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/18/24,CACFP Supper,Supper,17,0,4,21,Individual
IDEA Bridge,College Preparatory,SOLA,LA,4/18/24,Lunch,CP Lunch,366,0,0,366,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/19/24,Breakfast,CP Breakfast,378,0,0,378,Bulk
IDEA Bridge,College Preparatory,SOLA,LA,4/19/24,Lunch,CP Lunch,362,0,0,362,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/15/24,Breakfast,AC Breakfast,462,0,0,462,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/15/24,CACFP Supper,AC Supper,243,0,0,243,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/15/24,CACFP Supper,Supper,21,0,14,35,Individual
IDEA Brownsville,Academy,LRGV,TX,4/15/24,Lunch,AC Lunch,630,0,0,630,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/16/24,Breakfast,AC Breakfast,481,0,0,481,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/16/24,CACFP Supper,AC Supper,267,0,0,267,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/16/24,CACFP Supper,Supper,27,2,22,51,Individual
IDEA Brownsville,Academy,LRGV,TX,4/16/24,Lunch,AC Lunch,657,0,0,657,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/17/24,Breakfast,AC Breakfast,498,0,0,498,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/17/24,CACFP Supper,AC Supper,248,0,0,248,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/17/24,CACFP Supper,Supper,16,1,11,28,Individual
IDEA Brownsville,Academy,LRGV,TX,4/17/24,Lunch,AC Lunch,619,0,0,619,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/18/24,Breakfast,AC Breakfast,470,0,0,470,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/18/24,CACFP Supper,AC Supper,185,0,0,185,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/18/24,CACFP Supper,Supper,31,1,22,54,Individual
IDEA Brownsville,Academy,LRGV,TX,4/18/24,Lunch,AC Lunch,603,0,0,603,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/19/24,Breakfast,AC Breakfast,506,0,0,506,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/19/24,CACFP Supper,Supper,17,2,12,31,Individual
IDEA Brownsville,Academy,LRGV,TX,4/19/24,CACFP Supper,Supper,249,0,0,249,Bulk
IDEA Brownsville,Academy,LRGV,TX,4/19/24,Lunch,AC Lunch,623,0,0,623,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/15/24,Breakfast,CP Breakfast,493,0,0,493,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/15/24,CACFP Supper,Supper,27,4,19,50,Individual
IDEA Brownsville,College Preparatory,LRGV,TX,4/15/24,Lunch,CP Lunch,532,0,0,532,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/16/24,Breakfast,CP Breakfast,428,0,0,428,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/16/24,CACFP Supper,Supper,30,6,31,67,Individual
IDEA Brownsville,College Preparatory,LRGV,TX,4/16/24,Lunch,CP Lunch,542,0,0,542,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/17/24,Breakfast,CP Breakfast,593,0,0,593,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/17/24,CACFP Supper,Supper,42,10,48,100,Individual
IDEA Brownsville,College Preparatory,LRGV,TX,4/17/24,Lunch,CP Lunch,528,0,0,528,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/18/24,Breakfast,CP Breakfast,463,0,0,463,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/18/24,CACFP Supper,Supper,44,4,40,88,Individual
IDEA Brownsville,College Preparatory,LRGV,TX,4/18/24,Lunch,CP Lunch,548,0,0,548,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/19/24,Breakfast,CP Breakfast,434,0,0,434,Bulk
IDEA Brownsville,College Preparatory,LRGV,TX,4/19/24,CACFP Supper,Supper,18,1,7,26,Individual
IDEA Brownsville,College Preparatory,LRGV,TX,4/19/24,Lunch,CP Lunch,568,0,0,568,Bulk
IDEA Burke,Academy,WSAR,TX,4/15/24,Breakfast,AC Breakfast,567,0,0,567,Bulk
IDEA Burke,Academy,WSAR,TX,4/15/24,CACFP Supper,Supper,46,5,65,116,Individual
IDEA Burke,Academy,WSAR,TX,4/15/24,Lunch,AC Lunch,593,0,0,593,Bulk
IDEA Burke,Academy,WSAR,TX,4/16/24,Breakfast,AC Breakfast,539,0,0,539,Bulk
IDEA Burke,Academy,WSAR,TX,4/16/24,Lunch,AC Lunch,565,0,0,565,Bulk
IDEA Burke,Academy,WSAR,TX,4/17/24,Breakfast,AC Breakfast,542,0,0,542,Bulk
IDEA Burke,Academy,WSAR,TX,4/17/24,CACFP Supper,Supper,50,6,76,132,Individual
IDEA Burke,Academy,WSAR,TX,4/17/24,Lunch,AC Lunch,549,0,0,549,Bulk
IDEA Burke,Academy,WSAR,TX,4/18/24,Breakfast,AC Breakfast,510,0,0,510,Bulk
IDEA Burke,Academy,WSAR,TX,4/18/24,CACFP Supper,Supper,52,5,85,142,Individual
IDEA Burke,Academy,WSAR,TX,4/18/24,Lunch,AC Lunch,602,0,0,602,Bulk
